Unit_name,Unit_level_manual
WESTCUMBERLANDHOSPITAL,1
WESTMIDDLESEXUNIVERSITYHOSPITAL,1
WESTSUFFOLKHOSPITAL,1
WEXHAMPARKHOSPITAL,2
WHIPPSCROSSUNIVERSITYHOSPITAL,2
WHISTONHOSPITAL,2
WHITTINGTONHOSPITAL,2
WILLIAMHARVEYHOSPITAL,3
WISHAWGENERALHOSPITAL,3
WISHAWGENERALHOSPITALNICU,3
WISHAWGENERALLANARKSHIRESCOTLANDNICU,3
WITHYBUSHHOSPITAL,2
WORCESTERSHIREROYALHOSPITAL,2
WORTHINGHOSPITAL,1
WREXHAMMAELORHOSPITAL,3
WYTHENSHAWEHOSPITAL,2
YEOVILDISTRICTHOSPITAL,1
YORKDISTRICTHOSPITAL,2
YSBYTYGWYNEDD,1
