ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2022,238,The Newcastle upon Tyne Hospitals NHS Foundation Trust,England,North East and Yorkshire,,,Northern,-1.618109403,54.97975251,6082,22,3.62,3,5 to 15% lower,3.82,4,Within 5%,3.28 to 4.33,6060,20,3.3,5,Over 5% higher,3.04,5,Over 5% higher,2.11 to 4.49,42,6.91,5,Over 5% higher,6.86,4,Within 5%,5.81 to 8.70,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,240,Northern Care Alliance NHS Foundation Trust,England,North West,,,North West (Greater Manchester),-2.229486529,53.51788238,5066,28,5.53,5,Over 5% higher,3.71,4,Within 5%,3.08 to 4.52,5038,6,1.19,2,Over 15% lower,1.39,2,Over 15% lower,0.83 to 2.28,34,6.71,5,Over 5% higher,5.01,3,5 to 15% lower,4.23 to 6.42,2,Level 3 NICU,3.61,1.82,5.42
2022,241,The Princess Alexandra Hospital NHS Trust,England,East of England,,,East of England,0.086303423,51.77134302,3634,10,-1,0,Suppressed due to small numbers,2.69,4,Within 5%,2.27 to 3.12,3624,-1,-1,0,Suppressed due to small numbers,0.84,2,Over 15% lower,0.49 to 1.50,11,3.03,2,Over 15% lower,3.5,3,5 to 15% lower,3.01 to 4.40,4,"2,000-3,999 births",2.68,1.05,3.73
2022,242,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,England,East of England,,,East of England,0.446999307,52.7567811,2012,4,1.99,2,Over 15% lower,2.67,4,Within 5%,2.21 to 3.14,2008,5,2.49,5,Over 5% higher,1.32,5,Over 5% higher,0.76 to 2.37,9,4.47,5,Over 5% higher,4,5,Over 5% higher,3.33 to 5.17,4,"2,000-3,999 births",2.68,1.05,3.73
2022,244,The Rotherham NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.342572782,53.41441098,2582,7,2.71,4,Within 5%,2.68,4,Within 5%,2.27 to 3.10,2575,3,1.17,5,Over 5% higher,1.08,4,Within 5%,0.60 to 1.96,10,3.87,4,Within 5%,3.76,4,Within 5%,3.15 to 4.74,4,"2,000-3,999 births",2.68,1.05,3.73
2022,248,The Royal Wolverhampton NHS Trust,England,Midlands,,,"Staffordshire, Shropshire and Black Country",-2.095949322,52.59772641,5113,15,2.93,2,Over 15% lower,3.55,4,Within 5%,2.94 to 4.17,5098,16,3.14,5,Over 5% higher,2.3,5,Over 5% higher,1.49 to 3.79,31,6.06,5,Over 5% higher,5.88,5,Over 5% higher,4.92 to 7.58,2,Level 3 NICU,3.61,1.82,5.42
2022,249,The Shrewsbury and Telford Hospital NHS Trust,England,Midlands,,,"Staffordshire, Shropshire and Black Country",-2.793751663,52.70935697,4209,14,3.33,4,Within 5%,3.19,4,Within 5%,2.74 to 3.68,4195,8,1.91,5,Over 5% higher,1.39,5,Over 5% higher,0.80 to 2.29,22,5.23,5,Over 5% higher,4.59,5,Over 5% higher,3.93 to 5.80,3,"4,000 or more births",3.18,1.08,4.25
2022,252,United Lincolnshire Hospitals NHS Trust,England,Midlands,,,Trent,-0.522796303,53.23532265,4506,10,-1,0,Suppressed due to small numbers,3.14,4,Within 5%,2.59 to 3.65,4496,-1,-1,0,Suppressed due to small numbers,0.91,2,Over 15% lower,0.54 to 1.63,12,2.66,2,Over 15% lower,4.04,4,Within 5%,3.48 to 5.09,3,"4,000 or more births",3.18,1.08,4.25
2022,253,University College London Hospitals NHS Foundation Trust,England,London,,,North Central & East London,-0.137012509,51.52486543,5325,22,4.13,5,Over 5% higher,3.82,4,Within 5%,3.27 to 4.41,5303,22,4.15,5,Over 5% higher,3.15,5,Over 5% higher,2.11 to 4.64,44,8.26,5,Over 5% higher,6.99,5,Over 5% higher,5.92 to 8.84,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,254,University Hospitals Birmingham NHS Foundation Trust,England,Midlands,,,Southern West Midlands,-1.829965589,52.48021804,8665,29,3.35,3,5 to 15% lower,3.54,4,Within 5%,2.92 to 4.36,8636,17,1.97,5,Over 5% higher,1.91,5,Over 5% higher,1.27 to 2.90,46,5.31,4,Within 5%,5.44,4,Within 5%,4.68 to 6.99,2,Level 3 NICU,3.61,1.82,5.42
2022,255,University Hospitals of North Midlands NHS Trust,England,Midlands,,,"Staffordshire, Shropshire and Black Country",-2.214872336,53.00402068,6124,19,3.1,3,5 to 15% lower,3.59,4,Within 5%,2.98 to 4.19,6105,18,2.95,5,Over 5% higher,2.68,5,Over 5% higher,1.69 to 4.35,37,6.04,5,Over 5% higher,6.27,5,Over 5% higher,5.25 to 8.17,2,Level 3 NICU,3.61,1.82,5.42
